% DataCenterMapID 	Latitude	Longitude	InfoType	MappedFlag	Area	Provider	Country code	Subcontinental Zone code	City ID	City name	City Latitude	City Longitude	Information URL
1152	37.491226	-121.9308	1	Yes	N/A	N/A	US	NAN	5350734	Fremont	37.54827	-121.98857	http://www.datacentermap.com/ajax/map.asp?id=1152a1
1154	52.678017	-2.412659	0	Yes	N/A	N/A	GB	EUW	3345439	Telford	52.67659	-2.44926	http://www.datacentermap.com/ajax/map.asp?id=1154a1
1155	52.28326	4.773746	1	Yes	N/A	N/A	NL	EUW	2753801	Hoofddorp	52.3025	4.68889	http://www.datacentermap.com/ajax/map.asp?id=1155a1
1156	51.522	-0.071689	0	Yes	N/A	N/A	GB	EUW	2643741	City of London	51.51279	-0.09184	http://www.datacentermap.com/ajax/map.asp?id=1156a1
1157	48.116817	17.094315	1	Yes	N/A	N/A	SK	EUE	3060972	Bratislava	48.14816	17.10674	http://www.datacentermap.com/ajax/map.asp?id=1157a1
1158	50.059334	14.480447	1	Yes	N/A	N/A	CZ	EUW	3067696	Prague	50.08804	14.42076	http://www.datacentermap.com/ajax/map.asp?id=1158a1
1159	48.1191	17.095692	1	Yes	N/A	N/A	SK	EUE	3060972	Bratislava	48.14816	17.10674	http://www.datacentermap.com/ajax/map.asp?id=1159a1
1161	45.189938	5.736461	0	Yes	N/A	N/A	FR	EUW	3014728	Grenoble	45.16667	5.71667	http://www.datacentermap.com/ajax/map.asp?id=1161a1
1162	47.308727	5.02963	0	Yes	N/A	N/A	FR	EUW	3021372	Dijon	47.31667	5.01667	http://www.datacentermap.com/ajax/map.asp?id=1162a1
1163	43.556114	6.929097	1	Yes	N/A	N/A	FR	EUW	2990440	Nice	43.70313	7.26608	http://www.datacentermap.com/ajax/map.asp?id=1163a1
1164	39.968773	-82.99603	1	Yes	N/A	N/A	US	NAN	4509177	Columbus	39.96118	-82.99879	http://www.datacentermap.com/ajax/map.asp?id=1164a1
1165	48.10752	-1.643489	0	Yes	N/A	N/A	FR	EUW	2983990	Rennes	48.11198	-1.67429	http://www.datacentermap.com/ajax/map.asp?id=1165a1
1166	40.44235	-79.99715	0	Yes	N/A	N/A	US	NAN	5206379	Pittsburgh	40.44062	-79.99589	http://www.datacentermap.com/ajax/map.asp?id=1166a1
1167	44.8607	-0.5532	0	Yes	N/A	N/A	FR	EUW	3031582	Bordeaux	44.84044	-0.5805	http://www.datacentermap.com/ajax/map.asp?id=1167a1
1168	42.56101	-83.19259	1	Yes	N/A	N/A	US	NAN	5011148	Sterling Heights	42.58031	-83.0302	http://www.datacentermap.com/ajax/map.asp?id=1168a1
1169	38.91328	-77.22794	0	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=1169a1
1170	48.90712	2.241773	1	Yes	N/A	N/A	FR	EUW	3037044	Argenteuil	48.95	2.25	http://www.datacentermap.com/ajax/map.asp?id=1170a1
1171	50.637238	3.090602	0	Yes	N/A	N/A	FR	EUW	2998324	Lille	50.63297	3.05858	http://www.datacentermap.com/ajax/map.asp?id=1171a1
1173	38.962566	-77.381386	1	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=1173a1
1174	47.432472	0.686095	0	Yes	N/A	N/A	FR	EUW	2972191	Tours	47.38333	0.68333	http://www.datacentermap.com/ajax/map.asp?id=1174a1
1175	43.62078	1.422826	0	Yes	N/A	N/A	FR	EUW	2972315	Toulouse	43.60426	1.44367	http://www.datacentermap.com/ajax/map.asp?id=1175a1
1176	48.600487	7.743787	0	Yes	N/A	N/A	FR	EUW	2973783	Strasbourg	48.58342	7.74296	http://www.datacentermap.com/ajax/map.asp?id=1176a1
1177	49.42888	1.076054	0	Yes	N/A	N/A	FR	EUW	2982652	Rouen	49.44313	1.09932	http://www.datacentermap.com/ajax/map.asp?id=1177a1
1180	46.588165	0.340099	0	Yes	N/A	N/A	FR	EUW	2972191	Tours	47.38333	0.68333	http://www.datacentermap.com/ajax/map.asp?id=1180a1
1181	43.703583	7.260728	0	Yes	N/A	N/A	FR	EUW	2990440	Nice	43.70313	7.26608	http://www.datacentermap.com/ajax/map.asp?id=1181a1
1182	47.20307	-1.550103	0	Yes	N/A	N/A	FR	EUW	2990969	Nantes	47.21725	-1.55336	http://www.datacentermap.com/ajax/map.asp?id=1182a1
1183	43.601273	3.862645	0	Yes	N/A	N/A	FR	EUW	2992166	Montpellier	43.61092	3.87723	http://www.datacentermap.com/ajax/map.asp?id=1183a1
1189	41.880154	-87.62935	1	Yes	N/A	N/A	US	NAN	4887398	Chicago	41.85003	-87.65005	http://www.datacentermap.com/ajax/map.asp?id=1189a1
1190	30.399109	-97.71903	1	Yes	N/A	N/A	US	NAN	4671654	Austin	30.26715	-97.74306	http://www.datacentermap.com/ajax/map.asp?id=1190a1
1191	30.236725	-97.739815	1	Yes	N/A	N/A	US	NAN	4671654	Austin	30.26715	-97.74306	http://www.datacentermap.com/ajax/map.asp?id=1191a1
1192	33.8793	-84.496185	1	Yes	N/A	N/A	US	NAN	4180439	Atlanta	33.749	-84.38798	http://www.datacentermap.com/ajax/map.asp?id=1192a1
1193	39.28772	-76.61502	1	Yes	N/A	N/A	US	NAN	4347778	Baltimore	39.29038	-76.61219	http://www.datacentermap.com/ajax/map.asp?id=1193a1
1194	42.345554	-71.042946	1	Yes	N/A	N/A	US	NAN	4951305	South Boston	42.33343	-71.04949	http://www.datacentermap.com/ajax/map.asp?id=1194a1
1195	42.369465	-71.0875	1	Yes	N/A	N/A	US	NAN	4931972	Cambridge	42.3751	-71.10561	http://www.datacentermap.com/ajax/map.asp?id=1195a1
1196	38.947952	-122.60816	1	Yes	N/A	N/A	US	NAN	5393287	Santa Rosa	38.44047	-122.71443	http://www.datacentermap.com/ajax/map.asp?id=1196a1
1197	33.70478	-117.8489	1	Yes	N/A	N/A	US	NAN	5359777	Irvine	33.66946	-117.82311	http://www.datacentermap.com/ajax/map.asp?id=1197a1
1198	47.605885	-122.33575	1	Yes	N/A	N/A	US	NAN	5809844	Seattle	47.60621	-122.33207	http://www.datacentermap.com/ajax/map.asp?id=1198a1
1199	38.69398	-90.421814	1	Yes	N/A	N/A	US	NAN	4407066	Saint Louis	38.62727	-90.19789	http://www.datacentermap.com/ajax/map.asp?id=1199a1
1200	28.004843	-82.359505	1	Yes	N/A	N/A	US	NAN	4148757	Brandon	27.9378	-82.28592	http://www.datacentermap.com/ajax/map.asp?id=1200a1
1204	38.944244	-77.0635	1	Yes	N/A	N/A	US	NAN	4140963	Washington, D. C.	38.89511	-77.03637	http://www.datacentermap.com/ajax/map.asp?id=1204a1
1205	29.47655	-98.39069	1	Yes	N/A	N/A	US	NAN	4726206	San Antonio	29.42412	-98.49363	http://www.datacentermap.com/ajax/map.asp?id=1205a1
1206	45.454773	-122.78884	1	Yes	N/A	N/A	US	NAN	5746545	Portland	45.52345	-122.67621	http://www.datacentermap.com/ajax/map.asp?id=1206a1
1207	40.116547	-83.00167	1	Yes	N/A	N/A	US	NAN	4509177	Columbus	39.96118	-82.99879	http://www.datacentermap.com/ajax/map.asp?id=1207a1
1208	32.820568	-96.8667	1	Yes	N/A	N/A	US	NAN	4684888	Dallas	32.78306	-96.80667	http://www.datacentermap.com/ajax/map.asp?id=1208a1
1209	39.56477	-104.86117	1	Yes	N/A	N/A	US	NAN	5416541	Centennial	39.57916	-104.87692	http://www.datacentermap.com/ajax/map.asp?id=1209a1
1210	42.447884	-83.25513	1	Yes	N/A	N/A	US	NAN	5014051	Warren	42.47754	-83.0277	http://www.datacentermap.com/ajax/map.asp?id=1210a1
1211	42.447468	-83.25623	1	Yes	N/A	N/A	US	NAN	5014051	Warren	42.47754	-83.0277	http://www.datacentermap.com/ajax/map.asp?id=1211a1
1212	29.73348	-95.416336	1	Yes	N/A	N/A	US	NAN	4699066	Houston	29.76328	-95.36327	http://www.datacentermap.com/ajax/map.asp?id=1212a1
1213	25.92627	-80.225174	1	Yes	N/A	N/A	US	NAN	4164167	Miami Gardens	25.94204	-80.2456	http://www.datacentermap.com/ajax/map.asp?id=1213a1
1214	33.423943	-111.99697	1	Yes	N/A	N/A	US	NAN	5317071	Tempe Junction	33.41421	-111.94348	http://www.datacentermap.com/ajax/map.asp?id=1214a1
1215	45.442776	-122.78196	1	Yes	N/A	N/A	US	NAN	5746545	Portland	45.52345	-122.67621	http://www.datacentermap.com/ajax/map.asp?id=1215a1
1216	35.10895	-89.89488	0	Yes	N/A	N/A	US	NAN	4641239	Memphis	35.14953	-90.04898	http://www.datacentermap.com/ajax/map.asp?id=1216a1
