% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	Provider Name	Provider URL
282	31.728167	-99.4043	US	NAN	texas	SoftLayer CloudLayer	http://www.datacentermap.com/cloud/cloudlayer.html
283	31.728167	-99.4043	US	NAN	texas	ElasticHosts	http://www.datacentermap.com/cloud/elastichosts.html
284	31.728167	-99.4043	US	NAN	texas	Linode	http://www.datacentermap.com/cloud/linode.html
285	31.728167	-99.4043	US	NAN	texas	FlexCloud Servers	http://www.datacentermap.com/cloud/flexcloud-servers.html
286	31.728167	-99.4043	US	NAN	texas	manda cloud	http://www.datacentermap.com/cloud/manda-cloud.html
287	31.728167	-99.4043	US	NAN	texas	iland cloud infrastructure	http://www.datacentermap.com/cloud/iland-cloud-infrastructure.html
288	31.728167	-99.4043	US	NAN	texas	Solar VPS	http://www.datacentermap.com/cloud/solar-vps.html
289	31.728167	-99.4043	US	NAN	texas	HOSTING	http://www.datacentermap.com/cloud/hosting.html
290	31.728167	-99.4043	US	NAN	texas	GNAX Cloud	http://www.datacentermap.com/cloud/gnax-cloud.html
291	31.728167	-99.4043	US	NAN	texas	opus private cloud	http://www.datacentermap.com/cloud/opus-private-cloud.html
292	39.095963	-111.97266	US	NAN	utah	VPS.NET	http://www.datacentermap.com/cloud/vps-net.html
293	39.095963	-111.97266	US	NAN	utah	syptec cloud	http://www.datacentermap.com/cloud/syptec-cloud.html
294	37.160316	-79.01367	US	NAN	virginia	LeaseWeb	http://www.datacentermap.com/cloud/leaseweb.html
295	37.160316	-79.01367	US	NAN	virginia	Amazon EC2	http://www.datacentermap.com/cloud/amazon-ec2.html
296	37.160316	-79.01367	US	NAN	virginia	GoGrid	http://www.datacentermap.com/cloud/gogrid.html
297	37.160316	-79.01367	US	NAN	virginia	appnor cloud	http://www.datacentermap.com/cloud/appnor-cloud.html
298	37.160316	-79.01367	US	NAN	virginia	iland cloud infrastructure	http://www.datacentermap.com/cloud/iland-cloud-infrastructure.html
299	37.160316	-79.01367	US	NAN	virginia	sevtex	http://www.datacentermap.com/cloud/sevtex.html
300	37.160316	-79.01367	US	NAN	virginia	vps farm cloud	http://www.datacentermap.com/cloud/vps-farm-cloud.html
301	37.160316	-79.01367	US	NAN	virginia	enterprise cloud	http://www.datacentermap.com/cloud/enterprise-cloud.html
302	37.160316	-79.01367	US	NAN	virginia	Open Hosting	http://www.datacentermap.com/cloud/east1.html
303	47.100044	-121.02539	US	NAN	washington	SoftLayer CloudLayer	http://www.datacentermap.com/cloud/cloudlayer.html
304	47.100044	-121.02539	US	NAN	washington	parsec data management	http://www.datacentermap.com/cloud/parsec-data-management.html
